Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,team_win_pct,PTS_norm,AST_norm,TRB_norm,STL_norm,BLK_norm,FG%_norm,team_win_pct_norm,3P%_norm,3PA_norm,TOV_norm,eFG%_norm,2P%_norm,2PA_norm,MP_norm,FT%_norm,GS_norm,mvp_score
49.0,Jalen Duren,22.0,DET,C,70.0,70.0,28.2,7.5,11.5,0.65,0.0,0.0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2.0,0.8,0.8,1.9,2.8,19.5,"DPOY-11,AS,NBA3",0.732,0.582089552238806,0.1869158878504673,0.813953488372093,0.2962962962962963,0.25806451612903225,0.7803121248499401,0.9162303664921465,,0.0,0.475,0.7088331515812432,0.65,0.71875,0.7307692307692307,0.747,0.8536585365853658,0.6932195839144303
7.0,Donovan Mitchell,29.0,CLE,SG,70.0,70.0,33.5,9.7,20.0,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,"MVP-7,AS,NBA2",0.634,0.8328358208955223,0.5327102803738318,0.3488372093023256,0.5555555555555555,0.0967741935483871,0.5798319327731093,0.7452006980802792,0.364,0.7787610619469026,0.7,0.6139585605234459,0.577,0.7,0.8763736263736264,0.865,0.8536585365853658,0.6887602294639243
15.0,Kevin Durant,37.0,HOU,SF,78.0,78.0,36.4,9.2,17.6,0.52,2.4,5.8,0.413,6.8,11.9,0.572,0.588,5.2,6.0,0.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,1.8,26.0,"CPOY-9,AS,NBA2",0.634,0.7761194029850746,0.4485981308411215,0.4263565891472868,0.2962962962962963,0.2903225806451613,0.624249699879952,0.7452006980802792,0.413,0.5132743362831858,0.8,0.6412213740458015,0.572,0.74375,0.956043956043956,0.874,0.9512195121951219,0.6827104444486984
14.0,Jalen Brunson,29.0,NYK,PG,74.0,74.0,35.0,9.3,19.9,0.467,2.6,7.1,0.369,6.7,12.8,0.522,0.533,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,2.3,26.0,"CPOY-5,AS,NBA2",0.646,0.7761194029850746,0.6355140186915889,0.25581395348837205,0.2962962962962963,0.03225806451612903,0.56062424969988,0.7661431064572426,0.369,0.6283185840707964,0.6,0.5812431842966194,0.522,0.8,0.9175824175824175,0.841,0.9024390243902439,0.6750866880956707
3.0,Anthony Edwards,24.0,MIN,SG,61.0,60.0,35.0,9.9,20.2,0.489,3.4,8.4,0.399,6.5,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,"CPOY-3,AS",0.598,0.8597014925373134,0.3457943925233645,0.38759689922480617,0.5185185185185185,0.25806451612903225,0.5870348139255702,0.6823734729493891,0.399,0.743362831858407,0.725,0.623773173391494,0.554,0.7375,0.9175824175824175,0.796,0.7317073170731707,0.6680415052335325
40.0,Alperen Şengün,23.0,HOU,C,72.0,72.0,33.3,8.1,15.6,0.519,0.6,1.8,0.305,7.5,13.8,0.547,0.537,3.6,5.2,0.691,3.0,5.9,8.9,6.2,1.2,1.1,3.2,3.3,20.4,AS,0.634,0.608955223880597,0.5794392523364487,0.689922480620155,0.4444444444444444,0.3548387096774194,0.6230492196878752,0.7452006980802792,0.305,0.1592920353982301,0.8,0.5856052344601963,0.547,0.8625,0.8708791208791208,0.691,0.8780487804878049,0.6661989002861259
34.0,LeBron James,41.0,LAL,SF,60.0,60.0,33.2,7.9,15.3,0.515,1.3,4.1,0.317,6.6,11.3,0.586,0.557,3.9,5.3,0.737,0.7,5.4,6.1,7.2,1.2,0.6,3.0,1.4,20.9,AS,0.646,0.6238805970149254,0.6728971962616823,0.4728682170542635,0.4444444444444444,0.1935483870967742,0.6182472989195679,0.7661431064572426,0.317,0.3628318584070796,0.75,0.6074154852780808,0.586,0.70625,0.8681318681318682,0.737,0.7317073170731707,0.6632685067976765
5.0,Tyrese Maxey,25.0,PHI,PG,70.0,70.0,38.0,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6.0,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3,"CPOY-7,AS,NBA3",0.549,0.8447761194029851,0.616822429906542,0.31782945736434104,0.7037037037037036,0.25806451612903225,0.5546218487394958,0.5968586387434556,0.367,0.7610619469026548,0.6,0.5845147219193021,0.525,0.80625,1.0,0.892,0.8536585365853658,0.6507533392889479
46.0,Karl-Anthony Towns,30.0,NYK,C,75.0,75.0,31.0,6.9,13.8,0.501,1.5,4.1,0.368,5.4,9.7,0.557,0.556,4.8,5.5,0.858,3.1,8.7,11.9,3.0,0.9,0.5,2.5,3.4,20.1,AS,0.646,0.6000000000000001,0.28037383177570097,0.9224806201550387,0.3333333333333333,0.16129032258064516,0.6014405762304922,0.7661431064572426,0.368,0.3628318584070796,0.625,0.6063249727371866,0.557,0.60625,0.8076923076923077,0.858,0.9146341463414634,0.64874102069018
25.0,Jalen Johnson,24.0,ATL,SF,72.0,72.0,35.2,8.3,17.1,0.489,1.7,4.7,0.352,6.7,12.3,0.541,0.537,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,2.1,22.5,"AS,NBA3",0.561,0.6716417910447762,0.7383177570093459,0.7984496124031009,0.4444444444444444,0.12903225806451613,0.5870348139255702,0.617801047120419,0.352,0.415929203539823,0.85,0.5856052344601963,0.541,0.76875,0.9230769230769231,0.788,0.8780487804878049,0.6430171636547946
